line_id,lyrics
1,"Shake it off, shake it off, I, I, I shake it off."
2,"Cause the players gonna play, play, play, play, play."
3,"And the haters gonna hate, hate, hate, hate, hate."
4,"Baby now we got bad blood, you know it used to be mad love."
5,"We are never ever ever getting back together."
6,"You belong with me, you belong with me."
7,"I knew you were trouble when you walked in."
8,"Look what you made me do, look what you made me do."
9,"I don't know about you, but I'm feeling twenty-two."
10,"It's me, hi, I'm the problem, it's me."
